State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Andaman & Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.467,439.3589208
Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.3,6487.790112
Andaman & Nicobar Islands,2018,1,Merchant payments,298,452507.1686,1518.480432
Andaman & Nicobar Islands,2018,1,Financial Services,33,10601.41993,321.2551495
Andaman & Nicobar Islands,2018,1,Others,256,184689.8663,721.4447902
Andaman & Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731,344.6094627
Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.23,6856.482582
Andaman & Nicobar Islands,2018,2,Merchant payments,603,1024491.013,1698.990072
Andaman & Nicobar Islands,2018,2,Financial Services,59,121336.0271,2056.542832
Andaman & Nicobar Islands,2018,2,Others,368,359838.5054,977.8220255
Andaman & Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868,502.9533196
Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.54,7641.250239
Andaman & Nicobar Islands,2018,3,Merchant payments,945,1627359.839,1722.073904
Andaman & Nicobar Islands,2018,3,Financial Services,42,1481.490704,35.2735882
Andaman & Nicobar Islands,2018,3,Others,194,314343.3941,1620.326774
Andaman & Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512,473.2612236
Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.98,7750.593912
Andaman & Nicobar Islands,2018,4,Merchant payments,1421,3552027.735,2499.667653
Andaman & Nicobar Islands,2018,4,Financial Services,29,76035.78774,2621.923715
Andaman & Nicobar Islands,2018,4,Others,340,468266.0607,1377.25312
Andaman & Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.873,433.1690934
Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.87,6998.120731
Andaman & Nicobar Islands,2019,1,Merchant payments,1759,3266589.847,1857.072113
Andaman & Nicobar Islands,2019,1,Financial Services,62,116250.4367,1875.007044
Andaman & Nicobar Islands,2019,1,Others,283,497094.6484,1756.518192
Andaman & Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256,493.4892516
Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.7,7425.271643
Andaman & Nicobar Islands,2019,2,Merchant payments,4031,4702152.617,1166.497796
Andaman & Nicobar Islands,2019,2,Financial Services,124,113278.9137,913.5396267
Andaman & Nicobar Islands,2019,2,Others,377,671471.2226,1781.090776
Andaman & Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.706,503.8373331
Andaman & Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.1,7342.18211
Andaman & Nicobar Islands,2019,3,Merchant payments,3519,4428734.575,1258.520766
Andaman & Nicobar Islands,2019,3,Financial Services,50,158857.9432,3177.158863
Andaman & Nicobar Islands,2019,3,Others,215,232624.7599,1081.975628
Andaman & Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.3,6701.965154
Andaman & Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.916,688.6644225
Andaman & Nicobar Islands,2019,4,Merchant payments,2920,5247500.488,1797.089208
Andaman & Nicobar Islands,2019,4,Financial Services,60,295937.2111,4932.286851
Andaman & Nicobar Islands,2019,4,Others,200,263177.5944,1315.887972
Andaman & Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.8,7767.539936
Andaman & Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.02,593.9574132
Andaman & Nicobar Islands,2020,1,Merchant payments,4424,7752871.558,1752.457405
Andaman & Nicobar Islands,2020,1,Financial Services,66,208231.7307,3155.026223
Andaman & Nicobar Islands,2020,1,Others,216,332393.192,1538.85737
Andaman & Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73,463.2032193
Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.7,6980.680576
Andaman & Nicobar Islands,2020,2,Merchant payments,4004,9236375.74,2306.787148
Andaman & Nicobar Islands,2020,2,Financial Services,175,706932.1397,4039.612227
Andaman & Nicobar Islands,2020,2,Others,355,313313.0646,882.572013
Andaman & Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.88,417.4038252
Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.7,7103.200401
Andaman & Nicobar Islands,2020,3,Merchant payments,16096,22682992.24,1409.231625
Andaman & Nicobar Islands,2020,3,Financial Services,572,961836.713,1681.532715
Andaman & Nicobar Islands,2020,3,Others,808,539449.7722,667.6358567
Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.2,6548.66251
Andaman & Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.53,417.1465584
Andaman & Nicobar Islands,2020,4,Merchant payments,59391,56867468.94,957.5098742
Andaman & Nicobar Islands,2020,4,Financial Services,965,1880546.967,1948.753334
Andaman & Nicobar Islands,2020,4,Others,1925,1508083.692,783.4200996
Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.7,6309.539302
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.87,441.7661036
Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.06,1480.63626
Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.085,1662.161861
Andaman & Nicobar Islands,2021,1,Others,1201,1077918.666,897.517624
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.8,5636.595402
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26,361.35638
Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.5,1218.037989
Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.514,2123.45991
Andaman & Nicobar Islands,2021,2,Others,1628,1327080.056,815.1597396
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.7,177.4844764
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283,3450.974403
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2,681.8768481
Andhra Pradesh,2018,1,Financial Services,204305,44808449.76,219.3213566
Andhra Pradesh,2018,1,Others,395514,287626043,727.2208897
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488,247.5984616
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493099,4310.114457
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.9,722.141672
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81,305.610359
Andhra Pradesh,2018,2,Others,322063,328092346.6,1018.721016
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630445,2029.724774
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098147,258.4323594
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5,559.2200971
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57,159.8376058
Andhra Pradesh,2018,3,Others,348725,284248675.6,815.1083965
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726,2674.141624
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314,247.5830618
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585889,637.4913719
Andhra Pradesh,2018,4,Financial Services,400837,57178116.4,142.6468026
Andhra Pradesh,2018,4,Others,389411,315211361.3,809.4567469
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742,2071.680463
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602,248.2225126
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770,480.5094315
Andhra Pradesh,2019,1,Financial Services,416325,47150177.53,113.2532938
Andhra Pradesh,2019,1,Others,361263,284937624.5,788.7262868
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,1.03925E+11,3198.232398
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345388,334.0682144
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405203,500.0148163
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77,183.2406357
Andhra Pradesh,2019,2,Others,448802,361492238.4,805.4603999
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,1.24339E+11,3186.251208
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984677,342.1734973
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038,475.6661051
Andhra Pradesh,2019,3,Financial Services,122270,29778183.03,243.5444756
Andhra Pradesh,2019,3,Others,413437,298142027.6,721.1304929
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,1.78894E+11,3128.520861
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303368,536.4264346
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168606,340.6296182
Andhra Pradesh,2019,4,Financial Services,105662,26796571.75,253.6065165
Andhra Pradesh,2019,4,Others,338672,216496893.2,639.2524128
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,2.23089E+11,3408.422457
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784,592.3060607
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530778,355.1283154
Andhra Pradesh,2020,1,Financial Services,75238,43739133.17,581.3436451
Andhra Pradesh,2020,1,Others,292310,188228538.4,643.9346529
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,2.62732E+11,3569.243392
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006437,414.2734633
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525,754.7711211
Andhra Pradesh,2020,2,Financial Services,140941,145274999.2,1030.75045
Andhra Pradesh,2020,2,Others,176241,90087654.6,511.1617308
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,4.06462E+11,3806.110867
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580214,753.6612788
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104675,447.7028662
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7,1053.424787
Andhra Pradesh,2020,3,Others,312329,151582519.2,485.3296338
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,5.66639E+11,3727.796095
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048150,769.8420441
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337212,447.2591593
Andhra Pradesh,2020,4,Financial Services,265470,305168772.5,1149.541464
Andhra Pradesh,2020,4,Others,457527,306853355.6,670.6781361
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,5.80542E+11,3888.069516
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713,723.1718699
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964,489.8924041
Andhra Pradesh,2021,1,Financial Services,225355,270313028.5,1199.498695
Andhra Pradesh,2021,1,Others,347907,272546457.6,783.3888296
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,7.37004E+11,3886.849428
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429437,784.1613695
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345,496.6419291
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4,1091.458308
Andhra Pradesh,2021,2,Others,406842,308302224.4,757.7935031
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.515,180.4494593
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72,6222.949153
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.191,2322.815922
Arunachal Pradesh,2018,1,Financial Services,416,58893.76202,141.5715433
Arunachal Pradesh,2018,1,Others,1990,1834252.818,921.7350843
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.54,206.4867562
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.2,6857.887268
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.44,1984.421127
Arunachal Pradesh,2018,2,Financial Services,559,363761.8016,650.7366755
Arunachal Pradesh,2018,2,Others,2043,1842317.369,901.7706163
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.91,215.8274993
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.5,6194.336619
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.568,1162.029246
Arunachal Pradesh,2018,3,Financial Services,507,72133.84525,142.2758289
Arunachal Pradesh,2018,3,Others,2039,2044708.969,1002.799887
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88,211.3808747
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.2,6877.488202
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1,1553.064212
Arunachal Pradesh,2018,4,Financial Services,561,100597.9038,179.3189016
Arunachal Pradesh,2018,4,Others,2222,2446271.969,1100.932479
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895,220.9087574
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4,6081.190466
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.4,1272.760842
Arunachal Pradesh,2019,1,Financial Services,256,140622.8709,549.3080896
Arunachal Pradesh,2019,1,Others,2239,2730548.598,1219.539347
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41,230.4815848
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4,6610.886849
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13,829.3156721
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821,601.7261503
Arunachal Pradesh,2019,2,Others,3046,3880742.524,1274.045477
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94,235.6128945
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2,6300.660718
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07,1016.464383
Arunachal Pradesh,2019,3,Financial Services,864,64089.1135,74.1772147
Arunachal Pradesh,2019,3,Others,2758,3419197.418,1239.738005
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09,245.065865
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137448,6186.351509
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69,1173.163624
Arunachal Pradesh,2019,4,Financial Services,314,305379.7988,972.5471299
Arunachal Pradesh,2019,4,Others,2376,3421174.012,1439.888052
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77,260.7725546
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288,6213.03889
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13,915.7195771
Arunachal Pradesh,2020,1,Financial Services,470,337812.9482,718.7509535
Arunachal Pradesh,2020,1,Others,2261,2943873.067,1302.022586
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.2,277.8945793
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426,6578.906831
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61,1320.679195
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.696,2027.105112
Arunachal Pradesh,2020,2,Others,1939,1761404.402,908.4086655
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.2,298.0418138
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431,6375.509374
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69,1211.850785
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.917,2288.813127
Arunachal Pradesh,2020,3,Others,3005,2695539.361,897.0180901
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938,6234.916619
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.2,296.537583
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926,936.0519397
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.878,1367.43961
Arunachal Pradesh,2020,4,Others,4079,4055324.315,994.1957135
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488559,6111.680597
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9,315.8963559
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.1,1314.119873
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.474,1715.31481
Arunachal Pradesh,2021,1,Others,3074,3301662.609,1074.060706
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152,5244.09349
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.3,297.4416977
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.5,1165.729588
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.793,1745.307708
Arunachal Pradesh,2021,2,Others,3755,3415105.338,909.482114
Assam,2018,1,Recharge & bill payments,632092,93491181.14,147.9075532
Assam,2018,1,Peer-to-peer payments,318025,993525196,3124.047468
Assam,2018,1,Merchant payments,40482,34501622.89,852.2707103
Assam,2018,1,Financial Services,18172,4936862.201,271.6741251
Assam,2018,1,Others,48110,31349594,651.6232383
Assam,2018,2,Recharge & bill payments,984160,174427478.2,177.2348787
Assam,2018,2,Peer-to-peer payments,530781,2064314053,3889.201108
Assam,2018,2,Merchant payments,79307,73366344.81,925.0929276
Assam,2018,2,Financial Services,22773,7051504.658,309.6432028
Assam,2018,2,Others,46852,31425754.73,670.7452131
Assam,2018,3,Recharge & bill payments,1275136,254569069.3,199.6407201
Assam,2018,3,Peer-to-peer payments,843571,3424136710,4059.09723
Assam,2018,3,Merchant payments,159532,96783839.37,606.6735161
Assam,2018,3,Financial Services,22677,4741123.822,209.0719152
Assam,2018,3,Others,50935,30904247.88,606.7389395
Assam,2018,4,Recharge & bill payments,1703488,317661277.3,186.476968
Assam,2018,4,Peer-to-peer payments,1279089,5284776455,4131.672194
Assam,2018,4,Merchant payments,667293,240563395.3,360.5063972
Assam,2018,4,Financial Services,28035,6331912.527,225.8574113
Assam,2018,4,Others,56267,38689818.79,687.6111893
Assam,2019,1,Recharge & bill payments,1993220,400281677.9,200.8216243
Assam,2019,1,Peer-to-peer payments,1976310,7291433301,3689.417804
Assam,2019,1,Merchant payments,494871,266644645.7,538.8164709
Assam,2019,1,Financial Services,20162,4612454.113,228.7696713
Assam,2019,1,Others,48442,39127457.94,807.7176406
Assam,2019,2,Recharge & bill payments,2512932,539315772.9,214.6161428
Assam,2019,2,Peer-to-peer payments,2293770,10035232821,4374.995235
Assam,2019,2,Merchant payments,573646,326844709.6,569.7672599
Assam,2019,2,Financial Services,13654,4037222.414,295.6805635
Assam,2019,2,Others,60927,49538663.41,813.0822691
Assam,2019,3,Peer-to-peer payments,2713539,11835800855,4361.758152
Assam,2019,3,Recharge & bill payments,2645302,639885372.7,241.8950172
Assam,2019,3,Merchant payments,513728,421380275.4,820.2400403
Assam,2019,3,Financial Services,8606,6403456.345,744.0688293
Assam,2019,3,Others,61396,46973660.74,765.0931777
Assam,2019,4,Peer-to-peer payments,3222143,14083346879,4370.801321
Assam,2019,4,Recharge & bill payments,2937800,704118874,239.6755647
Assam,2019,4,Merchant payments,544053,456318130.1,838.7383767
Assam,2019,4,Financial Services,9621,3492255.086,362.9825471
Assam,2019,4,Others,46893,34707757.01,740.1479327
Assam,2020,1,Peer-to-peer payments,4058740,18977446152,4675.6989
Assam,2020,1,Recharge & bill payments,3897975,971722606.2,249.2890812
Assam,2020,1,Merchant payments,792646,675423853,852.1128637
Assam,2020,1,Financial Services,10173,7054325.508,693.4361061
Assam,2020,1,Others,49326,36781411.34,745.6799932
Assam,2020,2,Recharge & bill payments,6045321,1612522829,266.7389918
Assam,2020,2,Peer-to-peer payments,3648386,17358374071,4757.822794
Assam,2020,2,Merchant payments,742400,749018053.2,1008.914404
Assam,2020,2,Financial Services,19814,18130004.69,915.0098258
Assam,2020,2,Others,49278,28255168.01,573.3830109
Assam,2020,3,Peer-to-peer payments,5637893,26646565777,4726.334072
Assam,2020,3,Recharge & bill payments,5292154,1627282416,307.4896188
Assam,2020,3,Merchant payments,1383230,1492484153,1078.984806
Assam,2020,3,Financial Services,24954,28452966.03,1140.21664
Assam,2020,3,Others,59480,36605946.75,615.4328639
Assam,2020,4,Peer-to-peer payments,7538478,36013292451,4777.263056
Assam,2020,4,Recharge & bill payments,5383505,1662189124,308.7559358
Assam,2020,4,Merchant payments,2392184,2466913306,1031.238945
Assam,2020,4,Financial Services,29764,32314809.98,1085.701182
Assam,2020,4,Others,79523,51901628.47,652.6618521
Assam,2021,1,Peer-to-peer payments,9449096,45476079487,4812.743937
Assam,2021,1,Recharge & bill payments,6494111,2103017762,323.8345882
Assam,2021,1,Merchant payments,3459132,3657261586,1057.277255
Assam,2021,1,Financial Services,34049,41291047.38,1212.694863
Assam,2021,1,Others,75672,48814663.89,645.0822482
Assam,2021,2,Peer-to-peer payments,11668399,51521387891,4415.463329
Assam,2021,2,Recharge & bill payments,9058005,2657676415,293.4063754
Assam,2021,2,Merchant payments,4562669,4914753140,1077.166268
Assam,2021,2,Financial Services,49671,46106001.5,928.2277687
Assam,2021,2,Others,94161,52549929.27,558.0859301
Bihar,2018,1,Recharge & bill payments,3159922,375559206.8,118.8507839
Bihar,2018,1,Peer-to-peer payments,2052089,5295346761,2580.466423
Bihar,2018,1,Financial Services,194295,33999413.88,174.9886198
Bihar,2018,1,Merchant payments,138885,139827755.7,1006.788031
Bihar,2018,1,Others,279111,201025034.2,720.2332913
Bihar,2018,2,Recharge & bill payments,4346849,700649777.1,161.185672
Bihar,2018,2,Peer-to-peer payments,3447898,12141448845,3521.406041
Bihar,2018,2,Merchant payments,311487,318571872.8,1022.745324
Bihar,2018,2,Financial Services,267433,45332532.1,169.5098664
Bihar,2018,2,Others,258711,300128082.6,1160.090149
Bihar,2018,3,Peer-to-peer payments,8893764,18695889188,2102.134618
Bihar,2018,3,Recharge & bill payments,4401439,804061398.5,182.6814818
Bihar,2018,3,Merchant payments,586862,367608510.7,626.3968543
Bihar,2018,3,Financial Services,274510,33276460.45,121.2213051
Bihar,2018,3,Others,211229,234968821.3,1112.389025
Bihar,2018,4,Peer-to-peer payments,8094296,26224303883,3239.849875
Bihar,2018,4,Recharge & bill payments,5469096,986310785,180.3425621
Bihar,2018,4,Merchant payments,1680664,848968693.1,505.1388577
Bihar,2018,4,Financial Services,237247,36199427.51,152.5811813
Bihar,2018,4,Others,251098,302214380.2,1203.571435
Bihar,2019,1,Peer-to-peer payments,16807040,38824078062,2309.989032
Bihar,2019,1,Recharge & bill payments,7036367,1333688183,189.5421576
Bihar,2019,1,Merchant payments,2055267,1024997000,498.7171981
Bihar,2019,1,Financial Services,204689,28599535.73,139.7218988
Bihar,2019,1,Others,252871,291464734.4,1152.622224
Bihar,2019,2,Peer-to-peer payments,15837449,58381285241,3686.280868
Bihar,2019,2,Recharge & bill payments,9279442,1996804238,215.1858095
Bihar,2019,2,Merchant payments,4365465,2308145850,528.7285203
Bihar,2019,2,Financial Services,129603,63338108.54,488.7086606
Bihar,2019,2,Others,348520,382864846.1,1098.544836
Bihar,2019,3,Peer-to-peer payments,15446119,61831776093,4003.062264
Bihar,2019,3,Recharge & bill payments,9115040,2140566975,234.8390105
Bihar,2019,3,Merchant payments,7206001,3413490288,473.7010567
Bihar,2019,3,Financial Services,89997,20145460.43,223.8459107
Bihar,2019,3,Others,282743,286804437.7,1014.364415
Bihar,2019,4,Peer-to-peer payments,26337842,86340631422,3278.196878
Bihar,2019,4,Recharge & bill payments,11358597,2649616530,233.2697013
Bihar,2019,4,Merchant payments,5519582,4177574379,756.864266
Bihar,2019,4,Financial Services,100192,18815964.76,187.7990734
Bihar,2019,4,Others,214101,126788281.9,592.189116
Bihar,2020,1,Peer-to-peer payments,23163922,99873688133,4311.605268
Bihar,2020,1,Recharge & bill payments,13837430,3680590625,265.9880213
Bihar,2020,1,Merchant payments,7822567,5562692117,711.1082739
Bihar,2020,1,Financial Services,57233,23954789.41,418.5485543
Bihar,2020,1,Others,200663,115927863.5,577.7241617
Bihar,2020,2,Peer-to-peer payments,26572651,1.16244E+11,4374.586824
Bihar,2020,2,Recharge & bill payments,19522564,5642294772,289.0140236
Bihar,2020,2,Merchant payments,7011681,6760404422,964.1631474
Bihar,2020,2,Financial Services,73119,54077813.26,739.5863354
